rollout/ep_rew_mean,train/n_updates,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,time/total_timesteps,train/learning_rate
20.42279475,1774,12,468.75,-2.6827778816223145,0.0632404088973999,0.5875982046127319,146,4,-14.16711711883545,1875,0.0003
17.640353875000002,3061,12,395.25,-4.553079128265381,0.21675458550453186,0.39976975321769714,248,8,-18.487783432006836,3162,0.0003
15.637898500000004,4197,12,358.1666666666667,-6.122710704803467,0.24312518537044525,0.28507450222969055,338,12,-20.47901153564453,4298,0.0003
16.901306375,5891,12,374.5,-8.200751304626465,0.18701770901679993,0.17305199801921844,466,16,-21.28199577331543,5992,0.0003
19.2492973,7708,13,390.45,-9.72336483001709,0.36127886176109314,0.10225290060043335,598,20,-21.69814682006836,7809,0.0003
20.743538833333336,9681,13,407.5833333333333,-10.58430290222168,0.25089752674102783,0.05870742350816727,752,24,-20.43680191040039,9782,0.0003
22.28694067857143,11534,12,415.5357142857143,-10.05316162109375,1.1156507730484009,0.03519677370786667,896,28,-19.269832611083984,11635,0.0003
22.1651574375,12814,12,403.59375,-11.258211135864258,0.15084238350391388,0.0250336155295372,996,32,-18.641572952270508,12915,0.0003
22.839410555555556,14240,12,398.3611111111111,-9.517577171325684,0.24100488424301147,0.017275994643568993,1108,36,-17.47443389892578,14341,0.0003
23.192790725000002,15684,12,394.625,-3.833022117614746,0.22589945793151855,0.012454628013074398,1220,40,-16.242691040039062,15785,0.0003
23.88397838636364,17247,12,394.27272727272725,-1.0073339939117432,0.0867123156785965,0.009450295008718967,1342,44,-15.23898696899414,17348,0.0003
23.02909704166667,18180,12,380.8541666666667,11.069257736206055,0.10869517922401428,0.009920167736709118,1415,48,-15.171648025512695,18281,0.0003
21.975334750000002,18939,12,366.15384615384613,-9.229949951171875,0.12510740756988525,0.010027780197560787,1472,52,-14.531949996948242,19040,0.0003
22.00180269642857,19918,12,357.48214285714283,-2.0952839851379395,0.4188265800476074,0.007922284305095673,1547,56,-14.231654167175293,20019,0.0003
22.37659253333333,20994,12,351.5833333333333,1.617478609085083,0.21433719992637634,0.0075516789220273495,1628,60,-13.449226379394531,21095,0.0003
23.06094046875,22252,12,349.265625,-0.027091220021247864,0.09170351922512054,0.007894721813499928,1724,64,-12.78191089630127,22353,0.0003
22.91094939705883,23157,12,342.02941176470586,1.2074378728866577,0.12607130408287048,0.008226532489061356,1792,68,-12.725662231445312,23258,0.0003
23.453910611111112,24277,13,338.5833333333333,0.8264505863189697,0.05035056918859482,0.007855615578591824,1872,72,-12.234082221984863,24378,0.0003
23.292653710526317,25212,13,333.0657894736842,-0.3707965314388275,0.16657648980617523,0.0071558295749127865,1940,76,-12.073821067810059,25313,0.0003
23.709450150000002,26369,13,330.875,1.2145178318023682,0.1167934238910675,0.007789199240505695,2023,80,-11.630302429199219,26470,0.0003
23.840883702380953,27442,13,327.89285714285717,0.405129998922348,0.3269789218902588,0.00854291208088398,2106,84,-11.397789001464844,27543,0.0003
23.751964238636365,28330,13,323.07954545454544,0.923406720161438,0.2947523593902588,0.008656419813632965,2173,88,-11.048116683959961,28431,0.0003
24.20198019565217,29555,13,322.3478260869565,-2.679882764816284,0.39674699306488037,0.008528804406523705,2266,92,-10.425288200378418,29656,0.0003
24.985061562499997,30921,13,323.1458333333333,2.4023396968841553,0.18926262855529785,0.009324705228209496,2369,96,-10.188653945922852,31022,0.0003
25.232740459999995,32035,13,321.36,1.308213233947754,0.8404427170753479,0.010691286064684391,2453,100,-9.866353034973145,32136,0.0003
25.46792942,33086,13,313.12,-2.538785457611084,0.20704519748687744,0.010792477987706661,2532,104,-9.865792274475098,33187,0.0003
26.66989887,34541,13,314.8,-2.2490646839141846,0.10841427743434906,0.009378894232213497,2642,108,-9.580755233764648,34642,0.0003
27.553968949999998,35774,13,315.77,-0.19193442165851593,0.19756312668323517,0.008679206483066082,2731,112,-9.290680885314941,35875,0.0003
27.858040220000007,36849,13,309.58,-0.5873697400093079,0.09737378358840942,0.009042168036103249,2813,116,-9.002723693847656,36950,0.0003
27.73857388,37897,13,301.89,0.007999107241630554,0.06286084651947021,0.008439922705292702,2892,120,-8.571395874023438,37998,0.0003
28.59492184,39360,13,296.79,-1.841627836227417,0.10509414970874786,0.008405819535255432,3004,124,-8.593674659729004,39461,0.0003
29.115076730000002,40971,13,294.37,1.0361632108688354,0.1713062822818756,0.008057059720158577,3122,128,-8.358077049255371,41072,0.0003
30.085166689999998,42386,13,295.72,0.8942365646362305,0.22614248096942902,0.008248710073530674,3228,132,-8.246499061584473,42487,0.0003
30.88895094,43781,13,295.41,1.4928345680236816,0.12316379696130753,0.008600248023867607,3333,136,-8.126062393188477,43882,0.0003
31.034554350000004,44887,13,292.03,-0.25821834802627563,0.16026875376701355,0.009138120338320732,3416,140,-8.001029014587402,44988,0.0003
31.357328130000006,46247,13,290.0,-1.0792807340621948,0.0820576399564743,0.008648845367133617,3510,144,-8.119546890258789,46348,0.0003
31.973618000000005,47473,13,292.93,-1.2303990125656128,0.12911196053028107,0.008394256234169006,3601,148,-7.834229469299316,47574,0.0003
33.059344020000005,48678,13,297.39,-0.2440982162952423,0.1979808211326599,0.008524429984390736,3691,152,-7.825331687927246,48779,0.0003
33.39429429,49906,13,299.88,0.7611563205718994,0.18644437193870544,0.008071957156062126,3784,156,-8.138999938964844,50007,0.0003
33.68097426999999,51184,13,301.9,0.13483096659183502,0.036378003656864166,0.0076529947109520435,3882,160,-7.613102912902832,51285,0.0003
33.757826019999996,52683,13,304.31,-0.24287353456020355,0.05958142876625061,0.007174190133810043,3991,164,-7.391900539398193,52784,0.0003
34.32846877,54029,13,308.72,-0.9097686409950256,0.3733542263507843,0.007738455198705196,4084,168,-7.317906379699707,54130,0.0003
34.297196529999994,55176,13,308.99,0.8098199367523193,0.052189432084560394,0.0074840448796749115,4170,172,-7.284727096557617,55277,0.0003
34.840239149999995,56462,13,312.5,2.0471582412719727,0.13872846961021423,0.008011657744646072,4267,176,-7.0287675857543945,56563,0.0003
35.20718744,57816,13,314.47,0.37776145339012146,0.1919519305229187,0.007947578094899654,4361,180,-7.141769886016846,57917,0.0003
35.499790780000005,58955,13,315.13,0.43387579917907715,0.1094219908118248,0.007777901832014322,4437,184,-6.741281986236572,59056,0.0003
35.97411071,60055,13,317.25,-0.6495989561080933,0.4096088111400604,0.007836602628231049,4518,188,-7.239222049713135,60156,0.0003
36.08652928,61360,13,318.05,-0.8663707971572876,0.3216943144798279,0.008575485087931156,4611,192,-7.071861743927002,61461,0.0003
35.91614381,62588,13,316.67,-0.36201339960098267,0.09504376351833344,0.00812988355755806,4697,196,-7.229454040527344,62689,0.0003
36.38787268,63784,13,317.49,0.3995753526687622,0.20590662956237793,0.008731625974178314,4784,200,-7.0625433921813965,63885,0.0003
36.49228551000001,64856,13,317.7,2.0530025959014893,0.0742330402135849,0.008297880180180073,4864,204,-6.729806423187256,64957,0.0003
35.66754095000001,65789,13,312.48,-0.3625268340110779,0.21215836703777313,0.00948929600417614,4933,208,-6.975668907165527,65890,0.0003
35.95721196,67092,13,313.18,-1.8956749439239502,0.1299305260181427,0.008888117037713528,5025,212,-6.988913059234619,67193,0.0003
36.67558193,68443,13,315.94,0.19552329182624817,0.30269137024879456,0.00790319312363863,5127,216,-6.824830055236816,68544,0.0003
36.95253246,69535,13,316.38,-0.17559237778186798,0.05908261984586716,0.00804909598082304,5209,220,-6.699639320373535,69636,0.0003
36.68686581,70844,13,314.84,-1.3633313179016113,0.25923338532447815,0.0075680846348404884,5308,224,-6.57226037979126,70945,0.0003
36.56820021,72126,13,311.55,1.5054545402526855,0.361075758934021,0.00814387109130621,5404,228,-6.877262592315674,72227,0.0003
36.700760509999995,73506,13,311.2,-0.41028696298599243,0.07430900633335114,0.00830003246665001,5500,232,-6.697974681854248,73607,0.0003
36.1285923,74674,13,308.93,1.140092134475708,0.13002198934555054,0.008934756740927696,5587,236,-6.776796340942383,74775,0.0003
36.262421120000006,75682,13,307.95,-0.6940940618515015,0.1492110788822174,0.008548401296138763,5658,240,-6.660038471221924,75783,0.0003
36.81974929,77142,13,308.95,-0.49045494198799133,0.1763496696949005,0.00834344420582056,5767,244,-6.661029815673828,77243,0.0003
37.08769525,78246,13,307.73,0.52590411901474,0.16979846358299255,0.008097095414996147,5851,248,-6.665669918060303,78347,0.0003
36.959364400000005,79402,13,307.24,1.1461316347122192,0.24161553382873535,0.008022116497159004,5938,252,-6.789793014526367,79503,0.0003
36.75417825,80343,13,304.37,-0.6732048988342285,0.09945278614759445,0.008245008997619152,6008,256,-7.197684288024902,80444,0.0003
36.464738329999996,81336,13,301.52,0.48765724897384644,0.4139254689216614,0.00777447922155261,6074,260,-7.000356197357178,81437,0.0003
36.68834504,82651,13,299.68,-0.020994067192077637,0.04116778075695038,0.008011199533939362,6171,264,-6.873902797698975,82752,0.0003
37.486071,84433,13,304.04,-1.5071909427642822,0.13823550939559937,0.007722188252955675,6306,268,-6.5704121589660645,84534,0.0003
37.407884870000004,85486,13,303.1,0.5787736177444458,0.4166199266910553,0.007217623293399811,6388,272,-6.653417587280273,85587,0.0003
37.315847739999995,86548,13,300.86,-1.602219820022583,0.12405233830213547,0.007460589054971933,6461,276,-6.912888526916504,86649,0.0003
36.97264497,87626,13,298.1,0.8816547393798828,0.06528867781162262,0.007326859515160322,6537,280,-6.822939395904541,87727,0.0003
37.29445060999999,88983,13,300.28,1.4341884851455688,0.3403595983982086,0.007405460812151432,6638,284,-6.885706901550293,89084,0.0003
37.35156518,90151,13,300.96,1.8151589632034302,0.20031453669071198,0.007814452052116394,6723,288,-6.788301944732666,90252,0.0003
37.88583443,91770,13,304.1,-0.3846646845340729,0.8450322151184082,0.007195228710770607,6850,292,-6.582135200500488,91871,0.0003
38.02157788,93211,13,306.23,-0.5049701929092407,0.4707738161087036,0.007236797828227282,6954,296,-6.971649169921875,93312,0.0003
37.471823150000006,94155,13,303.71,-1.3616364002227783,0.24911345541477203,0.007522266358137131,7026,300,-7.10210657119751,94256,0.0003
37.825438590000005,95491,13,306.35,-0.06286036968231201,0.03209589421749115,0.006835632957518101,7127,304,-7.226032257080078,95592,0.0003
38.473432290000005,96728,13,309.39,1.8057246208190918,0.24975992739200592,0.0072609311901032925,7223,308,-6.8223419189453125,96829,0.0003
38.09222396,97886,13,307.94,0.35378798842430115,0.16541144251823425,0.006975102238357067,7309,312,-6.8059234619140625,97987,0.0003
37.55085493,99037,13,305.94,-0.761838436126709,0.5091879367828369,0.007299352902919054,7389,316,-6.810538291931152,99138,0.0003
37.7932016,100361,13,308.26,0.22948318719863892,0.14761470258235931,0.0072165424935519695,7489,320,-7.079721450805664,100462,0.0003
38.04277826,101933,13,310.89,0.7215479016304016,0.10193917155265808,0.006765037775039673,7611,324,-6.957150936126709,102034,0.0003
37.71321683,103211,13,310.85,-0.7645368576049805,0.4587612450122833,0.00666163582354784,7705,328,-6.910882949829102,103312,0.0003
37.49272862,104434,13,309.28,0.9433484673500061,0.4692034125328064,0.006540059577673674,7794,332,-6.990602016448975,104535,0.0003
38.06397553,106012,13,313.38,-0.020414739847183228,0.2671230435371399,0.007654071319848299,7917,336,-6.722703456878662,106113,0.0003
38.115032219999996,107225,13,315.43,0.627519965171814,0.3043999969959259,0.006922785192728043,8007,340,-6.8141608238220215,107326,0.0003
37.193282100000005,108192,13,310.5,-0.24206382036209106,0.23409727215766907,0.0067971269600093365,8082,344,-7.049859046936035,108293,0.0003
37.05777307000001,109131,13,308.85,0.7005294561386108,0.10519866645336151,0.00750225642696023,8154,348,-6.907762050628662,109232,0.0003
37.25689433,110401,13,309.99,1.0567338466644287,0.021856890991330147,0.007560426834970713,8248,352,-6.987112998962402,110502,0.0003
37.85354813000001,111665,13,313.22,0.05231909453868866,0.19333824515342712,0.007390838582068682,8343,356,-6.887633323669434,111766,0.0003
37.86501229,112701,13,313.65,1.8052492141723633,0.05390091612935066,0.007687740959227085,8421,360,-6.928301811218262,112802,0.0003
38.32450259,114222,13,315.71,0.4074482321739197,0.15267233550548553,0.0076992749236524105,8530,364,-6.968372344970703,114323,0.0003
37.433096250000006,115279,13,308.46,-0.208904430270195,0.3661208152770996,0.0077820345759391785,8611,368,-7.084641456604004,115380,0.0003
37.87119352,116685,13,311.99,-0.19062718749046326,0.2248520851135254,0.0074209473095834255,8719,372,-6.73305082321167,116786,0.0003
38.29484899,117997,13,314.49,0.5485515594482422,0.41441941261291504,0.007986861281096935,8819,376,-6.7530670166015625,118098,0.0003
38.69855043999999,119440,13,318.14,0.9188097715377808,0.6412590742111206,0.007436777930706739,8927,380,-6.950532913208008,119541,0.0003
38.66489002,120835,13,318.52,-0.41614359617233276,0.30835920572280884,0.007096656132489443,9026,384,-7.020633220672607,120936,0.0003
38.79168561,121999,13,318.48,-0.8043531775474548,0.0785168707370758,0.007952635176479816,9113,388,-6.881526947021484,122100,0.0003
38.289440830000004,123219,13,314.49,1.1164331436157227,0.08692657947540283,0.007427142467349768,9206,392,-6.519683837890625,123320,0.0003
38.66980978,124687,13,314.76,-2.3508505821228027,0.39437711238861084,0.007946687750518322,9317,396,-7.033577919006348,124788,0.0003
39.449733880000004,126122,13,319.67,-0.005581885576248169,0.5923484563827515,0.007252000737935305,9419,400,-6.917908668518066,126223,0.0003
39.49010984,127322,13,318.31,0.8199310302734375,0.11136195808649063,0.007334682624787092,9507,404,-6.737128734588623,127423,0.0003
39.45228768,128618,13,318.9,-0.4666779041290283,0.08525747060775757,0.007355532608926296,9598,408,-6.640335559844971,128719,0.0003
39.57548821000001,129753,13,318.67,-1.1991002559661865,0.10246696323156357,0.0075284563936293125,9682,412,-6.951404571533203,129854,0.0003
40.1003789,131234,13,321.97,-0.7708412408828735,0.3902529180049896,0.007016018033027649,9794,416,-6.963386535644531,131335,0.0003
40.237570610000006,132455,13,320.94,1.1017128229141235,0.23694100975990295,0.007011061999946833,9887,420,-7.0462775230407715,132556,0.0003
40.28523,134021,13,320.88,0.526604175567627,0.19849887490272522,0.0072286068461835384,10003,424,-7.1851806640625,134122,0.0003
41.141065899999994,135740,13,325.29,-0.5784679055213928,0.1352795958518982,0.00740143284201622,10130,428,-7.413626194000244,135841,0.0003
40.9480926,136985,13,325.51,1.840957760810852,0.042334407567977905,0.007155143655836582,10226,432,-6.88446044921875,137086,0.0003
40.634865989999994,138123,13,321.11,1.513451099395752,0.3543164134025574,0.007201599422842264,10315,436,-7.005314826965332,138224,0.0003
40.87693449,139448,13,322.23,-0.6657748818397522,0.5217244029045105,0.007275879383087158,10413,440,-7.366064071655273,139549,0.0003
40.98564395,140569,13,323.77,-1.0944405794143677,0.43184131383895874,0.007165335584431887,10498,444,-6.923320770263672,140670,0.0003
41.26858069000001,141875,13,327.44,0.3313405513763428,0.39303821325302124,0.0073355501517653465,10598,448,-7.044069290161133,141976,0.0003
41.38801423000001,143193,13,327.92,-0.053835220634937286,0.07713045179843903,0.0074881287291646,10700,452,-6.82923698425293,143294,0.0003
41.614527100000004,144684,13,330.19,1.2971501350402832,0.15316927433013916,0.007465856149792671,10813,456,-7.132345199584961,144785,0.0003
